,Building,Total_Energy_Usage_YTD,Total_Energy_Usage_MTD,Total_Energy_Usage_WTD,Cost_Difference_with_Baseline,Estimated_Total_Cost,CO2_Emission_YTD,Maximum_Peak_Energy_Consumption
0,LV_Incoming_TER_EH1,5285610.38,19720.0,8624.73,56266.43,547076.66,826.74,3412.2
1,LV_Incoming_TER_EM,3640918.23,21372.05,6622.18,59056.34,598967.1,522.28,3499.99
2,LV_Incoming_TER_EMA,6440644.15,22857.43,7052.85,53499.3,437049.35,842.93,3567.24
3,LV_Incoming_TER_EMB,5647385.28,14393.61,10142.7,59387.76,483998.05,522.13,4964.83
4,LV_Incoming_TER_EMC,3016220.58,14411.51,11528.02,47322.91,569458.87,657.18,3605.72
5,LV_Incoming_TER_EMD,5195928.74,19848.56,4519.95,56881.36,346925.68,612.15,4169.09
6,LV_Incoming_TER_EME,4651480.83,12664.65,7972.83,53157.82,460045.12,927.56,4635.97
7,LV_Incoming_TER_MDB_LT_GSM,3598752.54,22210.24,6993.4,42258.31,532653.81,548.3,4202.61
8,LV_Incoming_TER_NR,3665454.98,26534.1,11581.55,48281.62,373644.56,637.35,3866.46
9,LV_Incoming_TER_NR1,5469011.08,15212.29,4955.86,43298.76,494617.45,910.53,3911.47
10,LV_Incoming_TER_NR2,6110045.56,20642.4,6780.57,40100.17,513771.96,665.83,3869.42
11,LV_Incoming_TER_NR3,4277692.95,13438.65,7584.45,47811.74,560863.66,836.68,4165.7
12,LV_Incoming_TER_NR4,3965632.97,21456.37,11284.27,52042.1,318832.09,744.69,4040.22
13,Terraces - NR6,4845765.05,19220.34,7363.48,50773.34,446968.73,582.9,4169.87
14,Terraces - NR7,4765387.27,29436.21,7321.39,40056.61,460625.54,525.29,3070.64
15,Terraces - NR8,3370973.62,13957.62,7632.63,49701.11,437592.09,718.26,4985.38
16,Terraces - T10,5004448.74,20047.57,9809.72,53957.41,426993.18,824.76,4795.88
17,Terraces - T11,6638162.39,14765.29,5898.74,53740.4,492780.07,794.26,4238.22
18,Terraces - T12,6317692.78,20620.97,10460.71,48707.13,557653.67,859.12,4924.71
19,Terraces - T13,6554725.98,12832.25,11304.79,59247.58,594395.81,642.74,4533.68
20,Terraces - T14,5680005.27,14542.92,8761.06,43839.47,404960.61,539.87,4839.16
21,Terraces - T7,3778625.26,15738.65,4768.01,57750.68,439127.99,871.85,4999.4
22,Terraces - T8,5780947.17,21404.18,7387.89,51110.4,379766.95,682.16,4328.15
23,Terraces - T9,5509067.05,23288.32,5676.75,57498.58,561401.23,826.13,4219.55
24,HS1 Public Lighting,3280690.69,19623.33,4712.18,45093.96,437062.13,879.7,3110.5
25,L Public Lighting,5515366.16,17084.72,9560.55,50150.59,379086.62,720.82,4013.01
26,ISC Public Lighting,4366103.48,25077.84,7860.77,49540.16,443973.41,844.82,3893.53
27,MC Public Lighting,5879390.76,26419.75,7242.06,59294.52,597704.82,860.33,4587.08
28,TC Public Lighting,3261954.59,27251.16,10691.66,46553.31,396629.17,870.22,3032.64
29,U Public Lighting,5441225.15,17081.8,5490.92,41909.06,537171.82,967.87,3337.06
30,Mont Park,3879505.35,25408.43,11609.15,51437.89,431793.8,987.43,3383.45
31,Agora East,6478367.64,12288.87,5610.62,51484.82,456845.8,904.91,4695.97
32,Animal_and_Glass Houses,6056166.82,29185.43,6613.59,53845.66,315041.41,782.59,3095.31
33,Agricultural Reserve,6438945.41,19146.51,8809.27,43154.71,481816.52,932.24,3342.86
34,LV_Incoming_BEN_AS2.AS1_Main_Switch,6999351.86,12560.5,11367.86,46987.11,419224.4,788.94,4022.24
35,LV_Incoming_BEN_AS2.AS2_Main_Switch,4390787.54,14619.16,10924.51,52197.1,516767.71,993.01,4412.98
36,Agora Theatre,3700371.6,26835.04,10578.43,51175.53,437518.53,597.17,3686.7
37,LV_Incoming_WOD_SMSB.AW-1_Main_Supply,4731590.29,14746.06,11457.62,52677.63,471003.75,987.33,3374.93
38,Albury-Wodonga - B1,6174392.4,18483.44,7008.93,41036.75,393292.03,974.92,3099.8
39,Albury-Wodonga - B3,3198168.18,15181.38,9089.49,43711.54,584215.45,521.38,3720.92
40,Albury-Wodonga - B3A,5392238.52,19717.84,6762.7,43256.19,421688.21,876.17,3389.86
41,Albury-Wodonga - B4,4872906.77,25991.69,11029.3,57593.03,474421.08,710.32,3346.21
42,Albury-Wodonga - B5A,5053423.04,28019.4,7135.72,59194.77,335513.59,553.41,3188.59
43,Albury-Wodonga - B6,5886773.99,17595.09,6319.73,57829.13,403674.68,953.61,4299.09
44,Albury-Wodonga - B8,5478969.35,22940.92,8260.22,43161.07,503120.17,846.7,3024.44
45,Boilerhouse,3387579.84,23465.84,7794.45,47982.61,365353.89,677.73,4153.92
46,Beth Gleeson,6875253.55,15393.03,10898.37,41497.33,543366.37,508.64,4062.49
47,LV_Incoming_MIL.BGR_Main_Supply,6348837.06,18092.96,11348.95,47168.51,487599.29,993.36,4453.99
48,BS1,3684377.34,15700.24,6313.61,44938.6,373915.26,807.35,4641.32
49,BS2,5338302.3,19537.3,8408.92,40109.23,308300.88,527.5,3062.19
50,Childrens Centre,6082894.56,29624.67,4997.11,40292.57,430193.92,830.83,3770.54
51,Chisholm College,5496537.64,28228.0,8413.53,47526.54,437731.38,667.91,3105.54
52,CS CS1 CS2 CS3,3138096.34,23294.43,7910.61,47291.69,321166.87,632.66,4418.68
53,David Myers,3704296.59,20293.35,5228.84,50497.98,342236.27,552.26,3157.15
54,Donald Whitehead,3481538.96,24697.11,10453.24,51515.86,490562.13,876.84,4619.52
55,ED1 HEUD,4710611.16,21175.67,9704.36,52176.37,493892.88,767.79,4267.77
56,ED2,3855674.21,17504.39,9530.39,57168.56,412236.59,834.68,3837.82
57,Eastern Lecture Theatre,3462268.28,17391.69,10808.7,52518.27,308333.6,804.64,3351.09
58,Glenn College,4805690.13,28189.18,10603.65,46773.86,500713.2,577.38,4546.41
59,George Singer,4959094.63,19008.67,7757.28,44234.39,455955.3,826.81,3548.18
60,Health Sciences123,5251070.08,29154.55,8451.59,52832.3,394973.06,969.27,3298.5
61,Health Sciences Clinic,3519600.93,20237.82,9389.89,50438.02,414037.89,888.15,4939.0
62,Hooper Szental,6147840.86,28446.11,9771.49,59828.89,579204.61,717.63,3255.2
63,Humanities2,5637190.15,27017.26,11335.07,41811.87,320348.55,683.14,4446.07
64,Humanities3,4823979.72,17603.95,9995.9,47993.92,509411.88,596.26,4527.39
65,Indoor Sports Centre,6805569.49,16346.61,5249.81,57260.98,479470.79,843.05,3764.31
66,John Scott Meeting House,6273119.56,18946.33,11676.16,50703.44,524809.96,926.88,4974.65
67,Library,5366558.93,14343.5,9254.44,57084.96,362777.05,505.89,3911.4
68,LIMS1,3715358.6,15074.48,7074.47,46679.24,476720.68,577.48,3415.59
69,LIMS2,4938339.75,18400.2,4039.28,50030.22,532866.21,938.43,4348.39
70,Latrobe Uni Mediucal Centre,3192152.93,24853.92,7674.31,42310.15,551633.39,714.8,4748.49
71,Wildlife Reserve,3370791.68,20318.73,11017.0,47574.59,324031.33,503.53,3146.87
72,Martin,6306771.99,21913.37,8565.52,41699.71,583301.96,876.55,4798.57
73,Menzies College Main Supply,6403573.77,26673.85,7150.42,59950.69,489871.68,855.84,3046.38
74,Menzies College Annexe,5782555.74,17377.5,9255.24,44535.69,449861.09,733.88,3901.52
75,Albury-Wodonga - MH1,4207725.7,25489.9,11271.16,40463.91,463333.34,815.43,4196.1
76,Albury-Wodonga - MH2,6261973.34,17461.73,5875.2,43212.25,533805.02,513.55,3747.49
77,Peribolos East,5259161.5,26997.92,4259.19,59838.83,392265.16,883.94,3328.93
78,Physical Sciences1,3113655.87,20405.29,4343.38,40345.69,503810.97,727.04,3490.92
79,Physical Sciences2,4408011.35,19568.51,9441.76,43091.9,312562.4,826.91,3517.76
80,Peribolos West,5657967.3,16306.32,8121.92,49467.53,529838.78,675.26,4938.76
81,RLR,5208297.59,26017.35,9583.42,45893.34,316936.34,741.12,4194.74
82,SPF Specialised Pathogen Facility,5890975.82,18474.72,9812.2,41397.15,474278.68,774.58,3941.94
83,LV_Incoming_SHS.SHS_Main_Supply,4286919.66,15583.86,11884.46,54488.81,312658.68,866.65,4171.27
84,SFP,3645993.97,20695.97,7149.72,55814.29,360787.52,972.52,3777.83
85,SFP2,6399803.7,20845.42,11009.95,58366.63,446551.12,988.81,4099.49
86,Social Sciences,5975943.35,23848.37,11953.11,44898.91,494190.63,584.86,4390.99
87,Sylvia Walton,4618991.34,24660.1,5526.14,44587.4,424143.24,615.63,3846.51
88,Thomas Cherry_Shared,5812051.5,27023.51,7849.85,55096.68,542313.64,901.07,4424.6
89,Thomas Cherry,5629300.35,25296.61,9835.02,55920.81,356763.57,859.95,4045.87
90,The Learning Common,5553402.38,21732.94,8834.75,55790.01,507194.17,950.38,4836.6
91,Union,6485326.38,17897.08,10885.98,51646.93,577613.37,587.73,4772.22
92,Zoological Reserve,6208091.09,16367.44,7197.43,48435.06,455046.92,546.34,4015.98
