,Building,Total_Energy_Usage_YTD,Total_Energy_Usage_MTD,Total_Energy_Usage_WTD,Cost_Difference_with_Baseline,Estimated_Total_Cost,CO2_Emission_YTD,Maximum_Peak_Energy_Consumption
66,John Scott Meeting House,6273119.56,18946.33,11676.16,50703.44,524809.96,926.88,4974.65
67,Library,5366558.93,14343.5,9254.44,57084.96,362777.05,505.89,3911.4
68,LIMS1,3715358.6,15074.48,7074.47,46679.24,476720.68,577.48,3415.59
69,LIMS2 Building,4938339.75,18400.2,4039.28,50030.22,532866.21,938.43,4348.39
71,Wildlife Reserve,3370791.68,20318.73,11017,47574.59,324031.33,503.53,3146.87
80,Peribolos West Building,5657967.3,16306.32,8121.92,49467.53,529838.78,675.26,4938.76
81,RLR Building,5208297.59,26017.35,9583.42,45893.34,316936.34,741.12,4194.74
82,pathogen building,5890975.82,18474.72,9812.2,41397.15,474278.68,774.58,3941.94
86,Social Sciences Building,5975943.35,23848.37,11953.11,44898.91,494190.63,584.86,4390.99
87,Sylvia Walton Building,4618991.34,24660.1,5526.14,44587.4,424143.24,615.63,3846.51
91,union,6485326.38,17897.08,10885.98,51646.93,577613.37,587.73,4772.22
92,Zoological Reserve,6208091.09,16367.44,7197.43,48435.06,455046.92,546.34,4015.98
