,question,answer
0,What is the highest Total_Energy_Usage_YTD?,6805569.49
1,What is the lowest Total_Energy_Usage_YTD?,3113655.87
2,What is the sum of Total_Energy_Usage_YTD?,166906996.29000002
3,What is the average of Total_Energy_Usage_YTD?,5215843.63
4,Which building has highest Total_Energy_Usage_YTD?,Indoor Sports Centre
5,Which building has lowest Total_Energy_Usage_YTD?,Physical Sciences 1 Building
6,Number of buildings more than 6440362 of Total_Energy_Usage_YTD?,2
7,What are the buildings more than 6440362 of Total_Energy_Usage_YTD?,"['Indoor Sports Centre', 'Union']"
8,What is the highest Total_Energy_Usage_MTD?,28446.11
9,What is the lowest Total_Energy_Usage_MTD?,14343.5
10,What is the sum of Total_Energy_Usage_MTD?,672226.6699999999
11,What is the average of Total_Energy_Usage_MTD?,21007.08
12,Which building has highest Total_Energy_Usage_MTD?,Hooper Szental Building
13,Which building has lowest Total_Energy_Usage_MTD?,Library
14,Number of buildings more than 27020 of Total_Energy_Usage_MTD?,2
15,What are the buildings more than 27020 of Total_Energy_Usage_MTD?,"['Hooper Szental Building', 'Thomas Cherry Shared Load']"
16,What is the highest Total_Energy_Usage_WTD?,11953.11
17,What is the lowest Total_Energy_Usage_WTD?,4039.28
18,What is the sum of Total_Energy_Usage_WTD?,276283.64
19,What is the average of Total_Energy_Usage_WTD?,8633.86
20,Which building has highest Total_Energy_Usage_WTD?,Social Sciences Building
21,Which building has lowest Total_Energy_Usage_WTD?,LIMS2 Building
22,Number of buildings more than 11769 of Total_Energy_Usage_WTD?,2
23,What are the buildings more than 11769 of Total_Energy_Usage_WTD?,"['LV_Incoming_SHS.SHS_Main_Supply', 'Social Sciences Building']"
24,What is the highest Cost_Difference_with_Baseline?,59950.69
25,What is the lowest Cost_Difference_with_Baseline?,40345.69
26,What is the sum of Cost_Difference_with_Baseline?,1586658.5
27,What is the average of Cost_Difference_with_Baseline?,49583.08
28,Which building has highest Cost_Difference_with_Baseline?,Menzies College Main Supply
29,Which building has lowest Cost_Difference_with_Baseline?,Physical Sciences 1 Building
30,Number of buildings more than 59833 of Cost_Difference_with_Baseline?,2
31,What are the buildings more than 59833 of Cost_Difference_with_Baseline?,"['Menzies College Main Supply', 'Peribolos East Building']"
32,What is the highest Estimated_Total_Cost?,583301.96
33,What is the lowest Estimated_Total_Cost?,312562.4
34,What is the sum of Estimated_Total_Cost?,14602440.620000001
35,What is the average of Estimated_Total_Cost?,456326.27
36,Which building has highest Estimated_Total_Cost?,Martin Building
37,Which building has lowest Estimated_Total_Cost?,Physical Sciences 2 Building
38,Number of buildings more than 578329 of Estimated_Total_Cost?,2
39,What are the buildings more than 578329 of Estimated_Total_Cost?,"['Hooper Szental Building', 'Martin Building']"
40,What is the highest CO2_Emission_YTD?,988.81
41,What is the lowest CO2_Emission_YTD?,503.53
42,What is the sum of CO2_Emission_YTD?,24193.28
43,What is the average of CO2_Emission_YTD?,756.04
44,Which building has highest CO2_Emission_YTD?,SFP2
45,Which building has lowest CO2_Emission_YTD?,Wildlife Reserve
46,Number of buildings more than 960 of CO2_Emission_YTD?,2
47,What are the buildings more than 960 of CO2_Emission_YTD?,"['SFP', 'SFP2']"
48,What is the highest Maximum_Peak_Energy_Consumption?,4974.65
49,What is the lowest Maximum_Peak_Energy_Consumption?,3046.38
50,What is the sum of Maximum_Peak_Energy_Consumption?,130961.83
51,What is the average of Maximum_Peak_Energy_Consumption?,4092.56
52,Which building has highest Maximum_Peak_Energy_Consumption?,John Scott Meeting House
53,Which building has lowest Maximum_Peak_Energy_Consumption?,Menzies College Main Supply
