,meter,solar,default_df_cons,nearcasting,weekly,replace_consumptions,merging,uploading,total
0,1916, 0:00:00.756974, 0:00:00.023937, 0:00:00.697133, 0:00:00.678185, 0:00:00, 0:00:00.089760, 0:04:35.312043, 0:04:37.559030
1,1917, 0:00:01.782231, 0:00:00.023936, 0:00:00.660236, 0:00:00.639286, 0:00:00, 0:00:00.090759, 0:04:45.822943, 0:04:49.019391
2,1918, 0:00:01.759295, 0:00:00.025932, 0:00:00.695138, 0:00:00.759967, 0:00:00, 0:00:00.088764, 0:04:46.089447, 0:04:49.418543
3,1919, 0:00:01.743339, 0:00:00.014957, 0:00:00.675194, 0:00:00.669208, 0:00:00, 0:00:00.089761, 0:04:45.548367, 0:04:48.740826
4,1920, 0:00:01.680501, 0:00:00.025930, 0:00:00.680184, 0:00:00.974390, 0:00:00, 0:00:00.087765, 0:04:45.349329, 0:04:48.798099
5,1921, 0:00:01.919862, 0:00:00.030917, 0:00:00.709102, 0:00:00.738026, 0:00:00, 0:00:00.086767, 0:04:41.909064, 0:04:45.395734
6,1922, 0:00:01.720398, 0:00:00.025933, 0:00:00.714087, 0:00:00.702123, 0:00:00, 0:00:00.150597, 0:04:35.745542, 0:04:39.059678
7,1923, 0:00:01.781233, 0:00:00.026927, 0:00:00.702124, 0:00:00.633818, 0:00:00, 0:00:00.076794, 0:04:37.397599, 0:04:40.619492
8,1924, 0:00:01.646592, 0:00:00.025932, 0:00:00.640293, 0:00:00.688153, 0:00:00, 0:00:00.093749, 0:04:39.985009, 0:04:43.081724
9,1925, 0:00:01.477047, 0:00:00.026927, 0:00:00.653254, 0:00:00.645273, 0:00:00, 0:00:00.088761, 0:04:40.864369, 0:04:43.755631
10,1926, 0:00:01.670530, 0:00:00.025931, 0:00:00.666219, 0:00:00.643279, 0:00:00, 0:00:00.099732, 0:04:34.155503, 0:04:37.262191
11,1927, 0:00:01.496994, 0:00:00.024933, 0:00:00.697134, 0:00:00.622335, 0:00:00, 0:00:00.104721, 0:05:01.965159, 0:05:04.915265
12,1928, 0:00:01.643604, 0:00:00.024931, 0:00:00.716084, 0:00:00.680181, 0:00:00, 0:00:00.083777, 0:04:42.615478, 0:04:45.765053
13,1929, 0:00:01.571794, 0:00:00.026928, 0:00:00.701123, 0:00:00.701126, 0:00:00, 0:00:00.088762, 0:04:34.629820, 0:04:37.720550
14,1930, 0:00:01.518937, 0:00:00.025932, 0:00:00.694140, 0:00:00.680181, 0:00:00, 0:00:00.102724, 0:04:35.537438, 0:04:38.559352
